Sample in Buffer,Sample in Window,TRIGGER,design_1_i/audio_reader_0_playing,design_1_i/audio_reader_0_finished,design_1_i/audio_reader_0_buzzer,design_1_i/blk_mem_gen_0_douta[7:0],design_1_i/audio_reader_0_address[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,1,0,1,b2,6d
1,1,0,1,0,1,b2,6d
2,2,0,1,0,1,b2,6d
3,3,0,1,0,1,b2,6d
4,4,0,1,0,1,b2,6d
5,5,0,1,0,1,b2,6d
6,6,0,1,0,1,b2,6d
7,7,0,1,0,1,b2,6d
8,8,0,1,0,1,b2,6d
9,9,0,1,0,1,b2,6d
10,10,0,1,0,1,b2,6d
11,11,0,1,0,1,b2,6d
12,12,0,1,0,1,b2,6d
13,13,0,1,0,1,b2,6d
14,14,0,1,0,1,b2,6d
15,15,0,1,0,1,b2,6d
16,16,0,1,0,1,b2,6d
17,17,0,1,0,1,b2,6d
18,18,0,1,0,1,b2,6d
19,19,0,1,0,1,b2,6d
20,20,0,1,0,1,b2,6d
21,21,0,1,0,1,b2,6d
22,22,0,1,0,1,b2,6d
23,23,0,1,0,1,b2,6d
24,24,0,1,0,1,b2,6d
25,25,0,1,0,1,b2,6d
26,26,0,1,0,1,b2,6d
27,27,0,1,0,1,b2,6d
28,28,0,1,0,1,b2,6d
29,29,0,1,0,1,b2,6d
30,30,0,1,0,1,b2,6d
31,31,0,1,0,1,b2,6d
32,32,0,1,0,1,b2,6d
33,33,0,1,0,1,b2,6d
34,34,0,1,0,1,b2,6d
35,35,0,1,0,1,b2,6d
36,36,0,1,0,1,b2,6d
37,37,0,1,0,1,b2,6d
38,38,0,1,0,1,b2,6d
39,39,0,1,0,1,b2,6d
40,40,0,1,0,1,b2,6d
41,41,0,1,0,1,b2,6d
42,42,0,1,0,1,b2,6d
43,43,0,1,0,1,b2,6d
44,44,0,1,0,1,b2,6d
45,45,0,1,0,1,b2,6d
46,46,0,1,0,1,b2,6d
47,47,0,1,0,1,b2,6d
48,48,0,1,0,1,b2,6d
49,49,0,1,0,1,b2,6d
50,50,0,1,0,1,b2,6d
51,51,0,1,0,1,b2,6d
52,52,0,1,0,1,b2,6d
53,53,0,1,0,1,b2,6d
54,54,0,1,0,1,b2,6d
55,55,0,1,0,1,b2,6d
56,56,0,1,0,1,b2,6d
57,57,0,1,0,1,b2,6d
58,58,0,1,0,1,b2,6d
59,59,0,1,0,1,b2,6d
60,60,0,1,0,1,b2,6d
61,61,0,1,0,1,b2,6d
62,62,0,1,0,1,b2,6d
63,63,0,1,0,1,b2,6d
64,64,0,1,0,1,b2,6d
65,65,0,1,0,1,b2,6d
66,66,0,1,0,1,b2,6d
67,67,0,1,0,1,b2,6d
68,68,0,1,0,1,b2,6d
69,69,0,1,0,1,b2,6d
70,70,0,1,0,1,b2,6d
71,71,0,1,0,1,b2,6d
72,72,0,1,0,1,b2,6d
73,73,0,1,0,1,b2,6d
74,74,0,1,0,1,b2,6d
75,75,0,1,0,1,b2,6d
76,76,0,1,0,1,b2,6d
77,77,0,1,0,1,b2,6d
78,78,0,1,0,1,b2,6d
79,79,0,1,0,1,b2,6d
80,80,0,1,0,1,b2,6d
81,81,0,1,0,1,b2,6d
82,82,0,1,0,1,b2,6d
